Bad Habits        Ed Sheeran         =        2021
Beautiful People        Ed Sheeran        No.6 Collaborations Project        2019
Bellyache        Billie Eilish        Don't Smile at Me        2017
Calm Down        Rema & Selena Gomez        Midnight Vibes        2022
Cheap Thrills        Sia        This is Acting        2016
Dance Monkey        Tones and I        Bravo Hits, Vol. 107        2019
Don't Wanna Know        Maroon 5        Love Diary        2018
Easy On Me        Adele        Easy On Me        2021
Easy On Me        Adele        Easy On Me        2021
Flowers        Miley Cyrus        Endless Summer Vacation        2023
Girls Like You        Maroon 5        Red Pill Blues        2017
Golden Hour        JVKE        this is what__feels like (vol. 1-4)        2022
Happier        Marshmello, Bastille        Najlepsze hity dla Ciebie, Vol.9        2018
I'm Good (Blue)        David Guetta & Bebe Rexha        I'm Good (Blue) (Extended Remixes)        2022
Kill Bill        SZA        SOS        2022
Kill Em With Kindness        Selena Gomez        Revival        2015
Kings & Queens        Ava Max        Heaven & Hell        2020
Lalisa        Lisa        Lalisa        2021
Lavender Haze        Taylor Swift        Midnights        2022
Let Me Love You        DJ Snake        Encore        2016
Made You Look        Meghan Trainor        Takin' It Back        2022
Meant To Be        Bebe Rexha        All Your Fault: Pt. 2        2017
Memories        Maroon 5        Jordi        2021
Money        Lisa        Lalisa        2021
No Tears Left To Cry        Ariana Grande        Sweetener        2018
Old Town Road        Lil Nas X        Ultratop Hit Connection Best of 2019.3        2019
One More Night        Maroon 5        Overexposed        2012
Ony My Way        Alan Walker, Sabrina Carpenter & Farruko        Live Fast (Japan exclusive edition)        2019
Peaches        Justin Bieber        Justice        2021
See You Again        Wiz Khalifa        Most Wanted, Vol. 2        2015
Shake It Off        Taylor Swift        1989        2014
Shivers        Ed Sheeran         =        2021
Sorry        Justin Bieber        Purpose        2015
Stay        The Kid Laroi, Justin Bieber        Stay        2021
Symphony        Clean Bandit        So Good        2017
Treat You Better        Shawn Mendes        Illuminate        2016
Unholy        Sam Smith & Kim Petras        Gloria        2023
We Don't Talk Anymore        Charlie Puth        Nine Track Mind        2016
Yummy        Justin Bieber        Changes        2020
We Don't Talk Anymore        Charlie Puth        Nine Track Mind        2016
